mojoTitle, rtTitle, year, found, rtID
"Elvis Gratton 2",Elvis Gratton II: Miracle a Memphis,1999,True,770670037
"The Limey",The Limey,1999,True,14074
"Jawbreaker",Jawbreaker,1999,True,14304
"Love Stinks",Love Stinks,1999,True,14007
"Cradle Will Rock",Cradle Will Rock,1999,True,14150
"eXistenZ",eXistenZ,1999,True,13224
"Princess Mononoke",Princess Mononoke (Mononoke-hime),1999,True,10144
"Autumn Tale",,1999,False,
"A Dog of Flanders",A Dog of Flanders,1999,True,525888554
"Limbo",Limbo,1999,True,14634
"Trick",Trick,1999,True,13610
"Ravenous",Ravenous,1999,True,13800
"Beyond the Mat",Beyond the Mat,1999,True,17875
"Besieged",,1999,False,
"Wildfire: Feel the Heat (IMAX)",Wildfire: Feel the Heat,1999,True,653490787
"Three Seasons",Three Seasons,1999,True,224788904
"Taal",,1999,False,
"Better Than Chocolate",Better Than Chocolate,1999,True,16988
"Titus",Titus,1999,True,13294
"Crazy in Alabama",Crazy in Alabama,1999,True,11985
"Humsaath Hain",,1999,False,
"Happy  Texas",Happy  Texas,1999,True,10925
"Goodbye Lover",Goodbye Lover,1999,True,14671
"Tango",Tango: the Passion - Senor Tango,1999,True,770936415
"Holy Smoke",Holy Smoke!,1999,True,14101
"The Dreamlife of Angels",,1999,False,
"Asterix et Obelix Contre Cesar",Asterix et Obelix contre Cesar (Asterix and Obelix vs. Caesar),1999,True,450856396
"Tumbleweeds",Tumbleweeds,1999,True,12421
"Romance",Romance,1999,True,17006
"The Emperor and the Assassin",,1999,False,
"Hideous Kinky",,1999,False,
"American Movie",American Pie,1999,True,17097
"Get Real",,1999,False,
"The King of Masks",Bian Lian (The King of Masks),1999,True,18719
"This Is My Father",,1999,False,
"Xiu Xiu: The Sent Down Girl",Xiu Xiu: The Sent Down Girl,1999,True,14772
"The IMAX Nutcracker (IMAX)",,1999,False,
"Straight from the Heart",Straight From the Heart (Hum Dil De Chuke Sanam),1999,True,158886102
"Twin Falls  Idaho",Twin Falls Idaho,1999,True,15638
"Children of Heaven",,1999,False,
"The Castle",,1999,False,
"Edge of Seventeen",,1999,False,
"Wildfire",Wildfire: Feel the Heat,1999,True,653490787
"Illuminata",,1999,False,
"Felicia's Journey",Felicia's Journey,1999,True,12010
"After Life",,1999,False,
"Laura Cadieux... La Suite",Laura Cadieux... la suite,1999,True,770670040
"Body Shots",Body Shots,1999,True,14123
"Baadshah",Baadshah,1999,True,12632
"My Life So Far",My Life so Far,1999,True,11419
"Ride with the Devil",Ride with the Devil,1999,True,13875
"Grey Owl",Grey Owl,1999,True,11864
"Guinevere",Guinevere,1999,True,15980
"The Third Man (re-issue)",Ray Manzarek and Michael McClure - The Third Mind,1999,True,770985412
"Last Night (1999)",,1999,False,
